Sr. No.,Institute Code,Institute Name,City,CAP-IV PDF,Source URL
340,06768,"P.K. Technical Campus, Pune.",Pune,https://fe2025.mahacet.org/CAP-IV/CAPR-IV_06768.pdf,https://fe2025.mahacet.org/StaticPages/frmInstituteWiseAllotmentList?did=2021
341,06769,"Rasiklal M. Dhariwal Sinhgad Technical Institutes Campus, Warje, Pune.",Pune,https://fe2025.mahacet.org/CAP-IV/CAPR-IV_06769.pdf,https://fe2025.mahacet.org/StaticPages/frmInstituteWiseAllotmentList?did=2021
342,06770,"SKN Sinhgad Institute of Technology & Science, Kusgaon(BK),Pune.",Pune,https://fe2025.mahacet.org/CAP-IV/CAPR-IV_06770.pdf,https://fe2025.mahacet.org/StaticPages/frmInstituteWiseAllotmentList?did=2021
343,06771,"Flora Institute of Technology, Khopi, Near Khed Shivapur Toll Plaza, Pune",Pune,https://fe2025.mahacet.org/CAP-IV/CAPR-IV_06771.pdf,https://fe2025.mahacet.org/StaticPages/frmInstituteWiseAllotmentList?did=2021
344,06772,"NBN Sinhgad Technical Institutes Campus, Pune",Pune,https://fe2025.mahacet.org/CAP-IV/CAPR-IV_06772.pdf,https://fe2025.mahacet.org/StaticPages/frmInstituteWiseAllotmentList?did=2021
348,06794,"Anantrao Pawar College of Engineering & Research, Pune",Pune,https://fe2025.mahacet.org/CAP-IV/CAPR-IV_06794.pdf,https://fe2025.mahacet.org/StaticPages/frmInstituteWiseAllotmentList?did=2021
350,06796,"Bharati Vidyapeeth's College of Engineering,Lavale, Pune",Pune,https://fe2025.mahacet.org/CAP-IV/CAPR-IV_06796.pdf,https://fe2025.mahacet.org/StaticPages/frmInstituteWiseAllotmentList?did=2021
354,06808,"Keystone School of Engineering, Pune",Pune,https://fe2025.mahacet.org/CAP-IV/CAPR-IV_06808.pdf,https://fe2025.mahacet.org/StaticPages/frmInstituteWiseAllotmentList?did=2021
363,06991,"Dr. D.Y. Patil Technical Campus, Varale, Talegaon, Pune",Pune,https://fe2025.mahacet.org/CAP-IV/CAPR-IV_06991.pdf,https://fe2025.mahacet.org/StaticPages/frmInstituteWiseAllotmentList?did=2021
364,14005,"Laxminarayan Innovation Technological University, Nagpur",Nagpur,https://fe2025.mahacet.org/CAP-IV/CAPR-IV_14005.pdf,https://fe2025.mahacet.org/StaticPages/frmInstituteWiseAllotmentList?did=2021
372,16361,"Zeal College of Engineering & Research, Induri, Pune (Off Campus-Induri)",Pune,https://fe2025.mahacet.org/CAP-IV/CAPR-IV_16361.pdf,https://fe2025.mahacet.org/StaticPages/frmInstituteWiseAllotmentList?did=2021
